user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
toneporter,5,0.614694,1.977674,0.496378,0.697824,3,0.065795,0.002575,0.001231,0.496378,0.000696,0.087708,0.201446,0.144171
wokefromday1,5,0.614040,1.919381,0.438940,0.684339,1,0.141730,0.438940,0.003161,0.001510,0.001786,0.165934,0.245399,0.001539
dontshootcom,4,0.612447,1.912135,0.395474,0.670819,1,0.275345,0.395474,0.225627,0.001024,0.001211,0.003298,0.096977,0.001044
bigboysneed,4,0.611697,1.959704,0.385111,0.733954,1,0.348843,0.385111,0.038218,0.000392,0.000464,0.090892,0.135681,0.000400
imissobama,6,0.611636,2.000576,0.480715,0.712532,1,0.231817,0.480715,0.061844,0.005058,0.001096,0.098735,0.119790,0.000945
bricegeller,4,0.610506,1.995886,0.527173,0.693403,0,0.527173,0.166230,0.003146,0.001503,0.125297,0.048935,0.016433,0.111283
pigeontoday,9,0.609132,1.971926,0.526549,0.684337,6,0.157788,0.108256,0.132382,0.002581,0.003051,0.066763,0.526549,0.002630
lagonehoe,5,0.608856,1.836931,0.348789,0.655728,0,0.348789,0.306940,0.298909,0.001726,0.002041,0.032371,0.007464,0.001760
garrettsimpson_,19,0.607585,1.992585,0.375792,0.745824,1,0.152254,0.375792,0.026769,0.000570,0.050079,0.013210,0.370033,0.011295
cornellburchet,6,0.606809,1.919390,0.369701,0.700920,6,0.167814,0.331219,0.002203,0.001052,0.001244,0.125695,0.369701,0.001073
dailylosangeles,5,0.606220,1.970379,0.377225,0.731418,5,0.145285,0.354193,0.065001,0.000349,0.000413,0.377225,0.057177,0.000356
camosaseko,6,0.605121,2.011233,0.412967,0.728462,0,0.412967,0.315495,0.002849,0.001361,0.001610,0.132208,0.065640,0.067870
jery_robertsyo,5,0.604512,2.004925,0.452858,0.656753,0,0.452858,0.203895,0.008180,0.000279,0.000330,0.199417,0.029267,0.105774
johnnymarch_,3,0.601928,1.923749,0.352520,0.682741,5,0.200440,0.330221,0.001951,0.000932,0.001102,0.352520,0.111884,0.000950
evewebster373,15,0.599748,2.024502,0.468807,0.660777,1,0.039757,0.468807,0.167332,0.000276,0.006386,0.191970,0.123783,0.001689
robbydelaware,5,0.599317,1.887591,0.332638,0.654477,6,0.265191,0.075958,0.001729,0.000826,0.000977,0.321839,0.332638,0.000842
jeffreykahunas,22,0.598816,2.035783,0.373786,0.732921,1,0.152641,0.373786,0.036372,0.001085,0.053059,0.015471,0.359135,0.008451
kateritterrrr,9,0.597333,2.065795,0.442880,0.673521,0,0.442880,0.230641,0.097480,0.000987,0.016542,0.008027,0.181984,0.021458
blk_voice,8,0.596211,2.001595,0.522942,0.667177,1,0.132685,0.522942,0.144234,0.009376,0.001124,0.109532,0.079138,0.000969
edmundrjr,1,0.595826,1.927850,0.380674,0.654095,2,0.197310,0.000910,0.380674,0.000208,0.000246,0.273421,0.147018,0.000212
chesplayschess,5,0.593541,2.048214,0.428049,0.646053,0,0.428049,0.217658,0.004872,0.000909,0.086095,0.002928,0.218004,0.041484
archieolivers,7,0.593440,2.049357,0.380769,0.695499,0,0.380769,0.314730,0.002033,0.000971,0.050918,0.003127,0.169147,0.078305
datwisenigga,14,0.592312,2.017411,0.374092,0.722050,2,0.113863,0.347958,0.374092,0.000744,0.000879,0.055798,0.105908,0.000758
mihanovikov,2,0.591823,1.938026,0.339914,0.652711,0,0.339914,0.113010,0.001042,0.312797,0.000589,0.229988,0.002153,0.000507
taraformation,4,0.590299,1.927547,0.354768,0.623348,0,0.354768,0.002036,0.106972,0.000465,0.000550,0.268580,0.266154,0.000474
blacneighbor,3,0.589887,1.958304,0.367992,0.625945,0,0.367992,0.257953,0.111594,0.001196,0.001414,0.003850,0.254783,0.001219
regieblackmon,5,0.589830,1.953150,0.371895,0.648820,0,0.371895,0.276925,0.000904,0.000432,0.000511,0.196722,0.001868,0.150742
meggieoneil,2,0.589064,2.092398,0.430156,0.687580,1,0.007252,0.430156,0.003036,0.066695,0.001715,0.257425,0.148104,0.085618
happkendrahappy,9,0.589039,1.957354,0.329570,0.645650,0,0.329570,0.258903,0.003195,0.001527,0.082718,0.006452,0.316080,0.001556
adrgreerr,4,0.588692,2.061599,0.420311,0.689879,6,0.118422,0.269568,0.002042,0.000976,0.061010,0.126677,0.420311,0.000994
blacknewsoutlet,10,0.587589,2.008584,0.342507,0.661014,1,0.318507,0.342507,0.240121,0.001604,0.001897,0.039187,0.054542,0.001635
kelvin_chambers,6,0.587385,2.095124,0.415133,0.694266,0,0.415133,0.139846,0.003825,0.001828,0.063414,0.005885,0.279134,0.090936
