user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11
edmundrjr,1,0.819560,1.479618,0.637857,0.867910,7,0.000240,0.063404,0.000410,0.058042,0.000216,0.007209,0.000277,0.637857,0.000275,0.230053,0.000403,0.001615
ttsvetkov,3,0.818495,1.289104,0.542162,0.962670,7,0.001820,0.001738,0.003111,0.007766,0.001643,0.420508,0.002106,0.542162,0.002089,0.001747,0.003058,0.012252
danny_turner_1,1,0.818073,1.308835,0.546315,0.959092,5,0.001549,0.001479,0.002648,0.006613,0.001398,0.546315,0.001793,0.010557,0.001778,0.412777,0.002603,0.010488
darrell_h_hunt,1,0.817582,1.422296,0.545936,0.889513,5,0.000581,0.000555,0.000993,0.002479,0.000524,0.545936,0.000672,0.343577,0.000667,0.000557,0.000976,0.102484
yaeltrouble,1,0.817054,1.274440,0.791978,0.882184,2,0.004597,0.004390,0.791978,0.019619,0.004149,0.090205,0.005320,0.031495,0.005276,0.004412,0.007725,0.030833
krustyps,1,0.817003,1.273814,0.792315,0.882082,10,0.004597,0.004390,0.007859,0.019617,0.004149,0.089767,0.005320,0.031329,0.005277,0.004413,0.792315,0.030967
banttanantta,1,0.816995,1.273962,0.792268,0.882082,10,0.004597,0.004390,0.007859,0.019617,0.004149,0.089814,0.005320,0.031329,0.005277,0.004413,0.792268,0.030967
gracelilstar,1,0.815711,1.374759,0.578506,0.944848,5,0.002102,0.002008,0.003594,0.008974,0.001898,0.578506,0.002433,0.014412,0.366342,0.002018,0.003533,0.014180
dannymaslov,1,0.814476,1.475603,0.648039,0.887880,11,0.002890,0.002760,0.004941,0.012331,0.002608,0.072296,0.003345,0.239841,0.003317,0.002774,0.004856,0.648039
boryabuchin,5,0.814333,1.484622,0.657078,0.892617,7,0.002417,0.002309,0.054734,0.010314,0.002182,0.235539,0.002798,0.657078,0.002775,0.002320,0.011308,0.016227
sanantotopnews,19,0.812849,1.459190,0.720395,0.839397,7,0.002219,0.004294,0.016351,0.024086,0.001300,0.092888,0.008932,0.720395,0.001654,0.001383,0.007498,0.119001
internalmemer,9,0.811544,1.541226,0.650682,0.825763,5,0.000540,0.000516,0.003276,0.056509,0.000487,0.650682,0.000625,0.175080,0.009355,0.000518,0.000907,0.101504
ponomarevslav,7,0.811168,1.468390,0.552713,0.921320,5,0.001335,0.015920,0.002282,0.005697,0.001205,0.552713,0.001545,0.368607,0.006979,0.001281,0.002243,0.040192
warfareww,14,0.809639,1.543936,0.602939,0.852376,11,0.001444,0.001379,0.002468,0.006161,0.001303,0.249437,0.004952,0.115853,0.001657,0.001386,0.011021,0.602939
srahse,1,0.809051,1.455645,0.608365,0.923938,3,0.003293,0.003144,0.005629,0.608365,0.002972,0.315572,0.003811,0.022517,0.003779,0.003160,0.005533,0.022225
marianeuberg1,7,0.808279,1.486339,0.723271,0.836082,4,0.076576,0.002575,0.001591,0.017674,0.723271,0.009614,0.007201,0.040647,0.112811,0.000461,0.004342,0.003237
razvedchica_,5,0.807864,1.497612,0.524144,0.906919,7,0.001302,0.001243,0.002226,0.005556,0.001175,0.382775,0.001507,0.524144,0.001495,0.001250,0.015500,0.061827
chicagodailynew,26,0.805682,1.588556,0.579897,0.868974,7,0.001029,0.002481,0.005744,0.032688,0.001182,0.078714,0.002241,0.579897,0.001182,0.004035,0.001730,0.289077
handsome_henson,1,0.804787,1.431462,0.534278,0.939030,9,0.002311,0.002207,0.003951,0.009863,0.002086,0.404752,0.002675,0.015775,0.002653,0.534278,0.003884,0.015565
russilanrogov,6,0.804630,1.582669,0.666409,0.832107,7,0.001481,0.001414,0.041664,0.006320,0.086230,0.165699,0.001714,0.666409,0.001700,0.001422,0.002489,0.023459
romanagafonovv,6,0.803931,1.569730,0.573539,0.884669,7,0.002180,0.002082,0.003727,0.009302,0.001967,0.311130,0.015591,0.573539,0.002502,0.002092,0.003663,0.072225
jassscott,10,0.802678,1.569892,0.682765,0.845837,5,0.000535,0.003229,0.000914,0.002281,0.017895,0.682765,0.031669,0.163072,0.000614,0.037132,0.003133,0.056763
anthonywoodboy,4,0.802582,1.598881,0.641378,0.823712,5,0.001786,0.002276,0.003445,0.116283,0.001612,0.641378,0.002067,0.019815,0.002142,0.001960,0.024902,0.182335
aleksey_sokol_,5,0.801380,1.540028,0.502221,0.888830,7,0.001399,0.001336,0.084860,0.005970,0.001263,0.386609,0.001619,0.502221,0.001606,0.001343,0.002351,0.009424
watchmewalkin,15,0.800997,1.599127,0.669364,0.840580,5,0.000697,0.003232,0.057781,0.006224,0.011642,0.669364,0.001667,0.171216,0.001013,0.000669,0.053708,0.022785
tezaharov,5,0.800502,1.460464,0.505022,0.933383,5,0.002285,0.002182,0.003906,0.009750,0.002062,0.505022,0.002644,0.428361,0.002623,0.002193,0.023571,0.015399
bydrbre_,1,0.800080,1.568687,0.675193,0.815421,6,0.002567,0.002451,0.140228,0.010959,0.002317,0.121623,0.675193,0.017714,0.002946,0.002464,0.004313,0.017224
houstontopnews,11,0.799833,1.603710,0.662003,0.802894,7,0.001081,0.001033,0.036642,0.030355,0.000976,0.140891,0.001251,0.662003,0.001241,0.001038,0.008847,0.114642
stepansazono,3,0.799302,1.519305,0.501926,0.913564,7,0.001912,0.049051,0.003269,0.008160,0.001726,0.411638,0.002213,0.501926,0.002195,0.001835,0.003213,0.012862
