user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,suspicious_post_freq,suspicious_narrowness,duplicate_post_ratio,suspicious_duplicates,suspicious
neworleanson,13,0.8672357887820302,0.9508860572276888,0.8232676,0.92563766,7,True,True,3.457814661134163e-05,False,True
dailysandiego,14,0.8648063208506203,0.9721434568396337,0.8135868,0.9183175,7,True,True,0.0002144607843137255,False,True
albertmorenmore,1,0.8640178657175662,0.7840908330715296,0.88976616,0.9389959,9,True,True,0.0,False,True
dailysanfran,18,0.8631382161353637,1.0129398054161023,0.79028994,0.925622,7,True,True,0.0002517650922226479,False,True
ten_gop,47,0.8611952130789481,0.9557140401940349,0.8379516,0.9186613,5,True,True,0.00032647661180990127,False,True
missourinewsus,10,0.8611742667368768,1.03392272071727,0.79827553,0.92853254,5,True,True,0.0003276003276003276,False,True
rightnpr,22,0.8607999685772422,0.8806463648148328,0.8646541,0.93786615,5,True,True,5.94000594000594e-05,False,True
newarkvoice,16,0.8604210967156783,1.0654167856825456,0.7624275,0.94703627,7,True,True,0.00132471386180585,False,True
darknally,8,0.8597287364973454,1.0628090127475127,0.71671337,0.96548086,7,True,True,0.0,False,True
todaycincinnati,12,0.8582256831262688,1.0646868913122838,0.786967,0.90066844,7,True,True,7.128599942971201e-05,False,True
pamela_moore13,38,0.8578049611193516,0.9479992424416311,0.8516643,0.90906495,5,True,True,0.00012693532703314875,False,True
stlouisonline,16,0.8576781823770337,0.8988284566553744,0.866332,0.91310406,7,True,True,0.0009090909090909091,False,True
todaybostonma,15,0.8557794838464664,1.0865770150967529,0.78723633,0.92884654,7,True,True,0.0004368471035137702,False,True
worldnewspoli,5,0.8526691655327644,1.049223587207907,0.67091614,0.9845197,5,True,True,0.0,False,True
puddin_leto,1,0.852469620120246,0.9836873623221725,0.83788115,0.93316394,3,True,True,0.0,False,True
phoenixdailynew,20,0.8512651783967158,1.101044539652634,0.79371774,0.9288749,7,True,True,0.0002287867572841666,False,True
march_for_trump,19,0.8482857059570961,1.0899863991674572,0.81371737,0.8868423,5,True,True,0.0009350163627863488,False,True
christinacrisss,1,0.8476462727461088,1.1123652976456786,0.6670725,0.9757148,5,True,True,0.0,False,True
williams8kalvin,2,0.847580100041038,1.05953945057196,0.8107182,0.93592083,5,True,True,0.0,False,True
southlonestar,33,0.8468387621198268,1.0922466811564218,0.81512016,0.89559376,5,True,True,3.618075907232534e-05,False,True
usa_gunslinger,21,0.8453563869794986,1.0536929003558788,0.83332145,0.903993,5,True,True,0.00013614198371246814,False,True
richmondvoice,12,0.8438059564262707,1.1730115398194307,0.7785881,0.8881849,7,True,True,0.00041322314049586776,False,True
itstimetosecede,11,0.843691199911215,1.1035557443292074,0.81472194,0.88234615,5,True,True,0.0,False,True
israel_wills,1,0.8436308039623933,1.137610802948481,0.6442951,0.97550535,5,True,True,0.0,False,True
staywoke88,9,0.8422409045063736,1.2408636830816837,0.73196095,0.87154734,5,True,True,0.0001392272885485555,False,True
specialaffair,21,0.8417593874906563,1.2537043377517283,0.7382765,0.8818207,7,True,True,0.00016173378618793466,False,True
zistti,1,0.8410838006918008,1.0466177060820336,0.8385182,0.9129383,0,True,True,0.0,False,True
lila_gorila,1,0.8410828037497898,1.046667409068133,0.8384964,0.91295373,0,True,True,0.0,False,True
horrorki,1,0.8410819593118504,1.0466935504310642,0.8384867,0.9129583,0,True,True,0.0,False,True
oooonlyone,1,0.8410748668635885,1.0466776420358594,0.8385357,0.912867,0,True,True,0.0,False,True
ostrovofficer,1,0.8410713467552947,1.0467166820976053,0.838534,0.9128473,0,True,True,0.0,False,True
todaymiami,13,0.8407206075900217,1.2660885504663828,0.6984283,0.88609517,7,True,True,0.0,False,True
alexharritonov,7,0.8405585843526447,1.265853794147955,0.71848714,0.9204865,7,True,True,0.0036231884057971015,False,True
georevieweurope,1,0.8404134753266931,0.9207878894481413,0.8740136,0.90565634,5,True,True,0.0,False,True
shocko_10,4,0.8367374309552057,1.2408811393207464,0.7208699,0.9375413,5,True,True,0.0,False,True
willisbonnerr,26,0.8354520057931053,1.3324603530613341,0.7166092,0.8771161,11,True,True,4.1640294480162566e-05,False,True
angela_lattke,1,0.8354398267304836,1.2211433784118253,0.7812173,0.89311004,4,True,True,0.0,False,True
schultei2,1,0.8354191015435694,1.2212469119676446,0.78122723,0.89297575,4,True,True,0.0,False,True
kenzdonovan,15,0.8343945071634759,1.2626134690230488,0.77174395,0.88290197,5,True,True,0.0005069186474776837,False,True
gorelkinnn,1,0.8336626676221689,1.1096293116444276,0.8277336,0.9015445,10,True,True,0.0,False,True
moda_barina,1,0.8336615996668115,1.1096500355538566,0.82772774,0.90154433,10,True,True,0.0,False,True
mwiqcen,1,0.8336606545878263,1.1096698995500311,0.8277221,0.9015443,10,True,True,0.0,False,True
shikarnoel,1,0.8336597647091063,1.1096891616069278,0.8277164,0.9015447,10,True,True,0.0,False,True
jorda_morgan,1,0.8336597061327969,1.109690365485484,0.82771605,0.90154463,10,True,True,0.0,False,True
lmarinays,1,0.8336585163682079,1.1097142710739538,0.82770944,0.9015442,10,True,True,0.0,False,True
t0nyasinclair,1,0.832707706829145,1.2866267186324194,0.6268131,0.9478433,11,True,True,0.0,False,True
thefoundingson,46,0.8316735392581904,1.229117268027754,0.7903415,0.8704044,5,True,True,3.474768053402288e-05,False,True
mbrownhere,1,0.8313042354226733,1.2675264974102467,0.76885813,0.89280695,3,True,True,0.0,False,True
klausfinker,1,0.831277116939115,1.1122925489843636,0.8300159,0.8989844,4,True,True,0.0,False,True
valeyina_dm,6,0.8310192664018056,1.3444892496193062,0.69176495,0.9153052,7,True,True,0.007352941176470588,False,True
philadelphiaon,17,0.8306950249243528,1.3039832937488194,0.7514419,0.87564015,7,True,True,0.0,False,True
4ever1937,2,0.8304333460788863,1.2213120933923216,0.589825,0.9694836,5,True,True,0.0,False,True
edmundc0oke,1,0.829845584948392,1.145098583601746,0.8206138,0.8987744,1,True,True,0.0,False,True
instotus,2,0.8286862014210783,1.307158523440374,0.6998315,0.9318317,5,True,True,0.0,False,True
jacksoncitypost,12,0.8275909943331499,1.3212764932583767,0.7562075,0.8590789,7,True,True,0.0009615384615384616,False,True
glebnikon,5,0.8272542094928212,1.315731256646607,0.6385175,0.94603395,7,True,True,0.0,False,True
tpartynews,70,0.8268210654813714,1.304073498649197,0.75839907,0.8974382,5,True,True,0.0003372429919602016,False,True
finley1589,15,0.8265746274453609,1.3561581864890222,0.7337565,0.84118783,5,True,True,2.470270296975895e-05,False,True
atlanta_online,11,0.8260009501245804,1.3769223398582926,0.6685588,0.8247508,7,True,True,0.0,False,True
arturburanof,4,0.8255696116248146,1.2911340399462319,0.60743785,0.95613766,5,True,True,0.0,False,True
muslims_in_usa,6,0.8233341356584182,1.3164764574727956,0.7682902,0.8676594,5,True,True,0.0,False,True
realrobert1987,7,0.8219641285458309,1.3333105492958746,0.7631247,0.8444659,5,True,True,0.0,False,True
gwen_garland,1,0.8217390235125398,1.091625221847529,0.843472,0.88252276,5,True,True,0.0,False,True
tebepizdec,1,0.8215091417077929,1.0954001550426422,0.8426409,0.8821509,5,True,True,0.0,False,True
wildharee,1,0.8208968641662343,1.362769457562165,0.7475219,0.87419933,3,True,True,0.0,False,True
